1000 1799
1500 4598
2000 8397
2500 13196
3000 18995
3500 25794
4000 33593
4500 42392
5000 52191
5500 62990
6000 74789
6500 87588
7000 101387
7500 116186
8000 131985
8500 148784
9000 166583
9500 185382
10000 205181
